,MSE,MSE endtime
20230425153842641769.model,0.016782177835063646,0.07740484337567485
20230425152522974155.model,0.1489977777843209,0.8364094124278703
20230425152617863392.model,0.037575014294973105,0.10661912403409328
20230425153407690530.model,3.0415881444779673,9.93412449946402
20230425153956174379.model,0.14120822271392922,0.35444983912206957
20230425152858888745.model,4.710052373752916,18.11256050653542
20230425152904671579.model,0.007659041876519043,0.02175231114418892
20230425154320188944.model,0.00032655622714108874,0.0009585000595801191
