,MSE,MSE endtime
20230410172010848167.model,7.1017363032405,30.460542736898667
20230410163827172414.model,2.6564671601200156,9.174684166213273
20230410164319205227.model,0.16583227099541153,0.4835107410516669
20230410170452004485.model,3.358570884839834,13.45523829421239
20230410164345245269.model,0.2452993858034735,0.6053809044355903
20230410171949919551.model,48.798659219881,148.59140256060283
20230410163921744477.model,39.229551615446695,130.39163371667823
20230410170200498301.model,205.91227092978897,512.2044094829771
20230410170501164395.model,1.8406234022561663,7.546453100628989
20230410172101030829.model,0.04429283437742766,0.09790527032866475
20230410163758051544.model,4.038062061331486,7.907227761615159
20230410164007826040.model,10.391378444055292,38.25801599224702
20230410164332595922.model,4.074486532214227,14.369756535889087
20230410164347612353.model,14.554086679649066,80.58974657518128
20230410170244790025.model,280.15012718510764,785.6566530758535
20230410172306189669.model,0.04080368797046562,0.13464257232216287
