,MSE,MSE endtime
20230424111301235054.model,0.15429089574359495,0.6226266649265998
20230424111537281648.model,0.07249606991744771,0.24676466575296918
20230424114209411093.model,0.056904311701570474,0.17791055383747137
20230425115639699410.model,0.1321070627228471,0.5346728859286207
20230425121808739270.model,0.12322640181855016,0.5205643037926897
20230425114208738306.model,4.211690061779518e-05,0.00025147554153589753
20230425114728050315.model,6.675914776626995e-05,0.0003681079031177417
20230425115350610218.model,0.09600033994727157,0.3438796998633644
20230425120510816099.model,0.34188294588955903,2.30511565544513
20230425124509358174.model,0.05302713868395124,0.16267922342091354
20230424112224175944.model,0.06671300786712588,0.24260800450169717
20230424112239999835.model,0.06537783925154413,0.22476135852285478
20230425122937585884.model,0.07445103968063914,0.2875233999410586
20230424112303167177.model,6.58465334814422e-05,0.00035140148967083474
20230424112308418341.model,5.6519210789986,37.70863583315891
20230424112342780982.model,4.925561606238427e-05,0.00027790749364780626
20230424112350607976.model,5.237999767598818e-05,0.00031241485609614185
20230425122801716197.model,0.058214715905956005,0.17665906957479968
20230424112454280261.model,4.249450272708224e-05,0.00025611906731100363
20230425115549594079.model,7.517164595598254e-05,0.00042599058150222447
20230425123632801466.model,0.17493243105434036,0.825474426411494
20230424112637490086.model,3.682249491275561e-05,0.0002117045815147978
20230424113316370907.model,0.07682884243671124,0.2669751885874108
20230425114917680276.model,0.07679241262735564,0.29376387861529835
20230425121629249675.model,0.18805664697890684,0.9950934620772497
20230425123331763562.model,2.309093231526369,3.981561574616671
20230424113527512567.model,0.053789704416508974,0.16385659953168222
20230424114119766087.model,0.15927611513999468,0.487907319102782
20230424114755225689.model,0.43521603936779557,1.674573209945414
20230424114821317925.model,0.5361317663109688,2.7502830330370087
20230424114821974687.model,0.4346297605798256,3.4989971068351124
20230425123615470769.model,0.05718949596429562,0.17439302409750163
20230425114422271189.model,4.9216950872737066e-05,0.00027560403649207356
20230425115349870083.model,0.07460001612130594,0.2652375591017641
20230425120124833918.model,0.7665949867885095,5.652469862631014
20230424111433018461.model,0.059936153914998236,0.19861198011229259
20230424113808103800.model,0.06350858965051755,0.2161770785538734
20230424113831219470.model,0.06664694590855125,0.2210504954183139
20230425114208452446.model,3.665722556900913e-05,0.00021637732858193395
20230425114535936009.model,0.06456905964443618,0.23838093903780724
